index,smiles,cluster
754,CCCn1c2ccc(/C=C(\C#N)c3ccccc3)cc2c2cc(/C=C(\C#N)c3ccccc3)ccc21,2
786,CN(C)c1ccc(/C=C/C2=CC(=C(C#N)C#N)C=C(/C=C/c3ccc(N(C)C)cc3)O2)cc1,2
796,CCCCCCCCCC[n+]1ccc(/C=C/c2ccc(C)cc2)cc1,2
797,CCCCCCCCN1c2ccccc2Sc2cc(/C=C(\C#N)c3ccccc3)ccc21,2
443,CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)cc3)nc(/C=C/c3ccc(C(F)(F)F)cc3)n2)cc1,5
544,CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)cc3)nc(/C=C/c3ccc(N(C)C)cc3)n2)cc1,5
556,CN(C)c1ccc(/C=C/c2nc(/C=C/c3ccc(N(C)C)cc3)[n+]([O-])c(/C=C/c3ccc(N(C)C)cc3)n2)cc1,5
557,CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)cc3)[n+](C)c(/C=C/c3ccc(N(C)C)cc3)n2)cc1,5
654,COc1cc(/C=C/c2nccc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)n2)ccc1N(c1ccccc1)c1ccccc1,5
674,COc1ccc(/C=C/c2nc(/C=C/c3ccc(OC)cc3)c(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)c(/C=C/c3ccc(OC)cc3)n2)cc1,5
720,CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)cc3)nc(Nc3ccccc3)n2)cc1,5
749,CN(C)c1ccc(/C=C/c2ccnc(/C=C/c3ccc(N(C)C)cc3)n2)cc1,5
878,CN(C)c1ccc(/C=N/NC(=O)Cn2c3ccccc3c(=O)c3ccccc32)c(N2CCCCC2)c1,10
904,CN(C)c1ccc(/C=N/NC(=O)Cn2c3ccccc3c(=O)c3ccccc32)c([N+](=O)[O-])c1,10
907,COc1cc(N(C)C)ccc1/C=N/NC(=O)Cn1c2ccccc2c(=O)c2ccccc21,10
926,CN(C)c1ccc(/C=N/NC(=O)Cn2c3ccccc3c(=O)c3ccccc32)c(O)c1,10
980,CN(C)c1ccc(-n2c(-c3cc(N(C)C)ccc3/C=N/NC(=O)Cn3c4ccccc4c(=O)c4ccccc43)nc3ccccc32)cc1,10
983,CN(Cc1ccccn1)c1ccc(/C=N/NC(=O)Cn2c3ccccc3c(=O)c3ccccc32)cc1,10
1019,CN(C)c1ccc(/C=N/NC(=O)Cn2c3ccccc3c(=O)c3ccccc32)c(-c2nc(-c3ccccc3)c(-c3ccccc3)o2)c1,10
1023,CN(C)c1ccc(/C=N/NC(=O)Cn2c3ccccc3c(=O)c3ccccc32)c(-c2nc3ccccc3s2)c1,10
224,COC(=O)/C=C/C1=CC2=C(c3c(C)cc(C)cc3C)c3cc(/C=C/C(=O)OC)cn3[B-](F)(F)[N+]2=C1,0
233,COC(=O)/C=C/C1=CC2=C(c3ccccc3)c3cc(/C=C/C(=O)OC)cn3[B-](F)(F)[N+]2=C1,0
292,COC(=O)/C=C/C1=CC2=C(c3ccc(OC)cc3)c3cc(/C=C/C(=O)OC)cn3[B-](F)(F)[N+]2=C1,0
304,COC(=O)/C=C/C1=CC2=C(c3ccc(C)cc3)c3ccc(/C=C/C(=O)OC)n3[B-](F)(F)[N+]2=C1,0
367,COC(=O)/C=C/C1=CC2=C(c3ccccc3)c3cc(/C=C/C(=O)OC)c(/C=C/C(=O)OC)n3[B-](F)(F)[N+]2=C1/C=C/C(=O)OC,0
414,F[B-]1(F)n2c(ccc2-n2c3ccccc3c3ccccc32)C(c2ccccc2)=C2C=CC=[N+]21,0
441,CCC1=C(C)C2=C(c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,0
152,CCN(CC)c1ccc2cc(/C=C/C(=C(C#N)C#N)c3ccc(N(c4ccccc4)c4ccccc4)cc3)c(=O)oc2c1,7
885,COc1ccc(OCC(=O)c2ccccc2)c(/C=N/N=C/c2ccccc2OCC(=O)c2ccccc2)c1,7
893,CC(C)C1=CC(=C(c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)c2ccccc2S(=O)(=O)O)C=C(C(C)(C)C)C1,7
990,CC1(C)c2ccccc2N(c2ccc(C(=O)c3ccc(N4c5ccccc5C(C)(C)c5ccccc54)cc3)cc2)c2ccccc21,7
1008,O=C(c1ccccc1)c1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,7
1013,O=C(c1ccccc1)c1ccc(-c2ccc(-c3ccc(C(=C(c4ccccc4)c4ccccc4)c4ccccc4)cc3)c3nsnc23)cc1,7
1040,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)c3ccccc3)cc2)cc1,7
1041,COc1ccc(N(c2ccc(OC)cc2)c2ccc(C(=O)c3ccc(N(c4ccc(OC)cc4)c4ccc(OC)cc4)cc3)cc2)cc1,7
1042,O=C(/C=C/c1cn(-c2ccccc2)nc1-c1ccccc1)c1ccccc1,7
40,O=P(c1ccccc1)(c1ccccc1)c1ccc(-n2c3ccc(-c4ccccc4)cc3c3cc(-c4ccccc4)ccc32)cc1,12
48,O=S(=O)(c1ccc(-n2c3ccccc3c3ccccc32)cc1)c1ccc(-n2c3ccccc3c3ccccc32)cc1,12
62,Cc1cc(C)c(S(=O)(=O)c2ccc(-n3c4ccc(-c5c(C)cccc5C)cc4c4cc(-c5c(C)cccc5C)ccc43)cc2)c(C)c1,12
68,O=S(=O)(c1ccccc1)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,12
87,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(C(=O)c2ccncc2)cc1,12
133,O=C(c1ccccc1)c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,12
837,CCCCCCC1(CCCCCC)c2cc(-n3c4ccccc4c(=O)c4ccccc43)ccc2-c2ccc(-n3c4ccccc4c(=O)c4ccccc43)cc21,12
840,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(C#Cc2ccc(C=C(c3ccccc3)c3ccccc3)cc2)cc1,12
866,O=S1(=O)c2ccc(-n3c4ccccc4c4ccccc43)cc2-c2ccc(-n3c4ccccc4c4ccccc43)cc21,12
891,CCCCCCCCCCN(C)c1ccc(S(=O)(=O)[O-])cc1NC(=O)c1cc(/N=N/c2cccc(NS(=O)(=O)c3ccccc3)c2)c2ccccc2c1O,1
910,CCCCCCCCCCN(C)c1ccc(S(=O)(=O)O)cc1NC(=O)c1cc(/N=N/c2ccc(NS(=O)(=O)c3ccccc3)cc2)c2ccccc2c1O,1
932,CCCCCCCCCCN(C)c1ccc(S(N)(=O)=O)cc1NC(=O)c1cc(/N=N/c2ccccc2)c2ccccc2c1O,1
978,COc1ccc(C(=O)Nc2ccc(C(=O)/C=C/c3ccc(N(C)C)cc3)cc2)cc1,1
1005,CN(C)c1ccc(/C=C/C(=O)c2ccc(NC(=O)c3ccc([N+](=O)[O-])cc3)cc2)cc1,1
1011,CN(C)c1ccc(/C=C/C(=O)c2ccc(NC(=O)c3ccc(-c4ccccc4)o3)cc2)cc1,1
1037,CN(C)c1ccc(/C=C/C(=O)c2ccc(N(C)C)cc2)cc1,1
1039,CN(C)c1ccc(/C=C/C(=O)c2c3ccccc3cc3ccccc23)cc1,1
360,Fc1c(F)c(F)c(C2=[N+]3C(=C(c4ccccc4)c4ccc(-c5c(F)c(F)c(F)c(F)c5F)n4[B-]3(F)F)C=C2)c(F)c1F,3
366,CN(C)c1ccc(C2=[N+]3C(=C(c4ccc(C#N)cc4)c4ccc(-c5ccc(N(C)C)cc5)n4[B-]3(F)F)C=C2)cc1,3
377,CN(C)c1ccc(C2=[N+]3C(=C(c4ccccc4)c4ccc(-c5ccc(N(C)C)cc5)n4[B-]3(F)F)C=C2)cc1,3
396,F[B-]1(F)n2c(ccc2-c2ccccc2)C(c2ccccc2)=C2C=CC(c3ccccc3)=[N+]21,3
411,F[B-]1(F)n2c(ccc2-c2ccc(N3c4ccccc4Oc4ccccc43)cc2)N=C2C=CC(c3ccc(N4c5ccccc5Oc5ccccc54)cc3)=[N+]21,3
425,CC1=CC2=C(c3ccc(C#N)cc3)c3ccc(-c4ccc(C#N)cc4)n3[B-](F)(F)[N+]2=C1c1ccc(C#N)cc1,3
432,COc1ccccc1C1=[N+]2C(=C(c3ccccc3)c3ccc(-c4ccccc4OC)n3[B-]2(F)F)C=C1,3
437,COc1ccc(C2=CC(c3ccc(OC)cc3)=[N+]3C2=Nc2c(-c4ccc(OC)cc4)cc(-c4ccc(OC)cc4)n2[B-]3(F)F)cc1,3
11,CCCCCCCN1C(=O)c2ccc3c4cc(OC)c(-c5ccc(C#N)cc5)cc4c4cc(-c5ccc(C#N)cc5)c(OC)cc4c3c2C1=O,8
25,CCCCN1C(=O)c2cccc3c(-c4ccc(-c5cc(-c6ccccc6)n(-c6ccccc6)n5)s4)ccc(c23)C1=O,8
29,CCCCN1C(=O)c2cccc3c(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)ccc(c23)C1=O,8
85,CCCCCCCN1C(=O)c2ccc3cc(-c4ccc(OC)cc4)c(OC)cc3c2C1=O,8
111,CCCCCCCCN1C(=O)c2ccc3ccc4cc(-c5ccc(C#N)cc5)c(-c5ccc(C#N)cc5)cc4c3c2C1=O,8
115,CCCCCCCN1C(=O)c2ccc3c4c(ccc(c24)C1=O)-c1cc(-c2ccc(N(c4ccccc4)c4ccccc4)cc2)ccc1-3,8
138,CCCCCCCCCCN1C(=O)c2cccc3c(-n4cc(-c5ccccc5)nn4)ccc(c23)C1=O,8
